InvoiceNo,Store,ItemCategory,Price,Quantity,TotalAmount,Date,PaymentMethod,Discount_Percentage,Discount_Amount,Net_Sales_Amount,Effective_Discount_Per_Item,,
INV01128,Store A,Dresses,183.45,1,183.45,2021-09-06T18:41:07.9728430,Credit Card,15.00%,27.52,27.52,27.52,,
INV00419,Store A,Jeans,124.74,3,374.22,2021-09-06T18:41:07.9728430,Debit Card,12.00%,14.97,44.91,4.99,,
INV01036,Store C,Accessories,198.29,1,198.29,2021-09-07T18:41:07.9728430,Credit Card,15.00%,29.74,29.74,29.74,,
INV01148,Store C,Shoes,148.77,4,595.08,2021-09-07T18:41:07.9728430,Credit Card,12.00%,17.85,71.41,4.46,,
INV01867,Store B,T-Shirts,43.66,3,130.98,2021-09-07T18:41:07.9728430,Credit Card,10.00%,4.37,13.10,1.46,,
INV01787,Store A,Accessories,124.43,2,248.86,2021-09-07T18:41:07.9728430,Online Payment,12.00%,14.93,29.86,7.47,,
INV01953,Store C,Accessories,22.71,1,22.71,2021-09-07T18:41:07.9728430,Credit Card,10.00%,2.27,2.27,2.27,,
INV00165,Store B,Dresses,124.18,2,248.36,2021-09-07T18:41:07.9728430,Credit Card,12.00%,14.90,29.80,7.45,,
INV00940,Store B,Jeans,25.83,1,25.83,2021-09-07T18:41:07.9728430,Online Payment,10.00%,2.58,2.58,2.58,,
INV00116,Store C,Jeans,144.23,2,288.46,2021-09-07T18:41:07.9728430,Debit Card,12.00%,17.31,34.62,8.65,,
INV00822,Store B,Jackets,107.6,4,430.4,2021-09-07T18:41:07.9728430,Debit Card,12.00%,12.91,51.65,3.23,,
INV00140,Store B,T-Shirts,136.5,2,273,2021-09-07T18:41:07.9728430,Cash,12.00%,16.38,32.76,8.19,,
INV01383,Store A,Jeans,61.44,4,245.76,2021-09-07T18:41:07.9728430,Online Payment,10.00%,6.14,24.58,1.54,,
INV00976,Store A,T-Shirts,185.94,2,371.88,2021-09-07T18:41:07.9728430,Credit Card,15.00%,27.89,55.78,13.95,,
INV00112,Store B,Jackets,83.58,2,167.16,2021-09-07T18:41:07.9728430,Credit Card,10.00%,8.36,16.72,4.18,,
INV01911,Store A,Dresses,23.47,1,23.47,2021-09-08T18:41:07.9728430,Online Payment,10.00%,2.35,2.35,2.35,,
INV00435,Store C,Jackets,120.02,4,480.08,2021-09-08T18:41:07.9728430,Debit Card,12.00%,14.40,57.61,3.60,,
INV01168,Store C,T-Shirts,88.69,2,177.38,2021-09-08T18:41:07.9728430,Credit Card,10.00%,8.87,17.74,4.43,,
INV00090,Store C,Jackets,103.68,3,311.04,2021-09-08T18:41:07.9728430,Cash,12.00%,12.44,37.32,4.15,,
INV00989,Store B,Shoes,11.1,1,11.1,2021-09-08T18:41:07.9728430,Debit Card,10.00%,1.11,1.11,1.11,,
INV00447,Store A,Jeans,90.09,3,270.27,2021-09-08T18:41:07.9728430,Debit Card,10.00%,9.01,27.03,3.00,,
INV01063,Store C,Jackets,32.55,1,32.55,2021-09-08T18:41:07.9728430,Cash,10.00%,3.26,3.26,3.26,,
INV01395,Store A,Accessories,72.56,4,290.24,2021-09-08T18:41:07.9728430,Debit Card,10.00%,7.26,29.02,1.81,,
INV00822,Store A,Shoes,196.48,2,392.96,2021-09-08T18:41:07.9728430,Credit Card,15.00%,29.47,58.94,14.74,,
INV00789,Store B,Accessories,30.37,1,30.37,2021-09-08T18:41:07.9728430,Online Payment,10.00%,3.04,3.04,3.04,,
INV01694,Store B,Accessories,75.68,1,75.68,2021-09-08T18:41:07.9728430,Cash,10.00%,7.57,7.57,7.57,,
INV01593,Store B,Accessories,163.94,2,327.88,2021-09-08T18:41:07.9728430,Debit Card,15.00%,24.59,49.18,12.30,,
INV00331,Store B,Dresses,82.71,4,330.84,2021-09-09T18:41:07.9728430,Credit Card,10.00%,8.27,33.08,2.07,,
INV00157,Store A,Jeans,154.77,2,309.54,2021-09-09T18:41:07.9728430,Credit Card,15.00%,23.22,46.43,11.61,,
INV00678,Store B,Dresses,167.97,1,167.97,2021-09-09T18:41:07.9728430,Cash,15.00%,25.20,25.20,25.20,,
INV00929,Store A,Jeans,15.36,4,61.44,2021-09-09T18:41:07.9728430,Online Payment,10.00%,1.54,6.14,0.38,,
INV00115,Store A,Jackets,87.09,1,87.09,2021-09-09T18:41:07.9728430,Debit Card,10.00%,8.71,8.71,8.71,,
INV00622,Store B,T-Shirts,170.63,3,511.89,2021-09-09T18:41:07.9728430,Debit Card,15.00%,25.59,76.78,8.53,,
INV00083,Store C,Shoes,20.83,1,20.83,2021-09-09T18:41:07.9728430,Online Payment,10.00%,2.08,2.08,2.08,,
INV00035,Store A,Accessories,106.25,1,106.25,2021-09-09T18:41:07.9728430,Cash,12.00%,12.75,12.75,12.75,,
INV01840,Store C,Shoes,31.6,2,63.2,2021-09-09T18:41:07.9728430,Cash,10.00%,3.16,6.32,1.58,,
INV01881,Store C,Shoes,149.26,4,597.04,2021-09-10T18:41:07.9728430,Cash,12.00%,17.91,71.64,4.48,,
INV00170,Store B,Jackets,48.12,1,48.12,2021-09-10T18:41:07.9728430,Online Payment,10.00%,4.81,4.81,4.81,,
INV00596,Store B,Accessories,80,1,80,2021-09-10T18:41:07.9728430,Credit Card,10.00%,8.00,8.00,8.00,,
INV01630,Store C,T-Shirts,165.42,1,165.42,2021-09-10T18:41:07.9728430,Debit Card,15.00%,24.81,24.81,24.81,,
INV01178,Store A,Dresses,79.79,1,79.79,2021-09-10T18:41:07.9728430,Online Payment,10.00%,7.98,7.98,7.98,,
INV00629,Store B,Jeans,173.7,1,173.7,2021-09-10T18:41:07.9728430,Debit Card,15.00%,26.06,26.06,26.06,,
INV00318,Store A,Dresses,40.69,3,122.07,2021-09-10T18:41:07.9728430,Cash,10.00%,4.07,12.21,1.36,,
INV00260,Store C,T-Shirts,25.65,2,51.3,2021-09-11T18:41:07.9728430,Cash,10.00%,2.57,5.13,1.28,,
INV00408,Store C,Accessories,189.86,1,189.86,2021-09-11T18:41:07.9728430,Credit Card,15.00%,28.48,28.48,28.48,,
INV00147,Store C,Jeans,13.85,3,41.55,2021-09-11T18:41:07.9728430,Cash,10.00%,1.39,4.16,0.46,,
INV01025,Store B,Dresses,141.54,3,424.62,2021-09-11T18:41:07.9728430,Debit Card,12.00%,16.98,50.95,5.66,,
INV01198,Store A,T-Shirts,22.07,1,22.07,2021-09-11T18:41:07.9728430,Debit Card,10.00%,2.21,2.21,2.21,,
INV00117,Store A,Dresses,117.23,2,234.46,2021-09-11T18:41:07.9728430,Cash,12.00%,14.07,28.14,7.03,,
INV00327,Store B,Shoes,69.91,3,209.73,2021-09-11T18:41:07.9728430,Online Payment,10.00%,6.99,20.97,2.33,,
INV01796,Store A,Jackets,65.02,2,130.04,2021-09-11T18:41:07.9728430,Cash,10.00%,6.50,13.00,3.25,,
INV00405,Store B,Shoes,96.39,3,289.17,2021-09-11T18:41:07.9728430,Debit Card,10.00%,9.64,28.92,3.21,,
INV00364,Store A,Accessories,164.94,3,494.82,2021-09-11T18:41:07.9728430,Credit Card,15.00%,24.74,74.22,8.25,,
INV00189,Store B,Accessories,89.4,2,178.8,2021-09-11T18:41:07.9728430,Cash,10.00%,8.94,17.88,4.47,,
INV00501,Store B,Shoes,196.81,1,196.81,2021-09-11T18:41:07.9728430,Cash,15.00%,29.52,29.52,29.52,,
INV01229,Store B,T-Shirts,38.25,1,38.25,2021-09-11T18:41:07.9728430,Online Payment,10.00%,3.83,3.83,3.83,,
INV00614,Store A,T-Shirts,47.34,3,142.02,2021-09-11T18:41:07.9728430,Cash,10.00%,4.73,14.20,1.58,,
INV00948,Store B,Jeans,25.82,3,77.46,2021-09-12T18:41:07.9728430,Debit Card,10.00%,2.58,7.75,0.86,,
INV01721,Store A,Jackets,41.55,2,83.1,2021-09-12T18:41:07.9728430,Online Payment,10.00%,4.16,8.31,2.08,,
INV01906,Store C,Jeans,189,3,567,2021-09-12T18:41:07.9728430,Credit Card,15.00%,28.35,85.05,9.45,,
INV00059,Store B,T-Shirts,162.19,3,486.57,2021-09-12T18:41:07.9728430,Credit Card,15.00%,24.33,72.99,8.11,,
INV00876,Store A,Jeans,197.52,1,197.52,2021-09-13T18:41:07.9728430,Credit Card,15.00%,29.63,29.63,29.63,,
INV01212,Store B,Shoes,111.51,3,334.53,2021-09-13T18:41:07.9728430,Credit Card,12.00%,13.38,40.14,4.46,,
INV00468,Store A,Jackets,15.66,3,46.98,2021-09-13T18:41:07.9728430,Credit Card,10.00%,1.57,4.70,0.52,,
INV00505,Store A,Jeans,173.68,1,173.68,2021-09-13T18:41:07.9728430,Online Payment,15.00%,26.05,26.05,26.05,,
INV01953,Store C,Shoes,152.64,4,610.56,2021-09-13T18:41:07.9728430,Credit Card,15.00%,22.90,91.58,5.72,,
INV01753,Store B,Accessories,75.35,2,150.7,2021-09-13T18:41:07.9728430,Debit Card,10.00%,7.54,15.07,3.77,,
INV00235,Store A,Shoes,104.12,1,104.12,2021-09-13T18:41:07.9728430,Online Payment,12.00%,12.49,12.49,12.49,,
INV01082,Store C,T-Shirts,141.28,1,141.28,2021-09-14T18:41:07.9728430,Online Payment,12.00%,16.95,16.95,16.95,,
INV00836,Store A,Accessories,157,1,157,2021-09-14T18:41:07.9728430,Cash,15.00%,23.55,23.55,23.55,,
INV01559,Store C,Accessories,165.07,2,330.14,2021-09-14T18:41:07.9728430,Cash,15.00%,24.76,49.52,12.38,,
INV01750,Store B,Dresses,49.92,1,49.92,2021-09-14T18:41:07.9728430,Online Payment,10.00%,4.99,4.99,4.99,,
INV00906,Store A,T-Shirts,150.84,1,150.84,2021-09-14T18:41:07.9728430,Cash,15.00%,22.63,22.63,22.63,,
INV01882,Store C,Dresses,67.77,4,271.08,2021-09-14T18:41:07.9728430,Debit Card,10.00%,6.78,27.11,1.69,,
INV00278,Store B,Dresses,162.25,1,162.25,2021-09-14T18:41:07.9728430,Cash,15.00%,24.34,24.34,24.34,,
INV01074,Store A,Shoes,69.81,3,209.43,2021-09-14T18:41:07.9728430,Credit Card,10.00%,6.98,20.94,2.33,,
INV01875,Store A,Accessories,28.01,3,84.03,2021-09-15T18:41:07.9728430,Debit Card,10.00%,2.80,8.40,0.93,,
INV01356,Store A,Jackets,24.05,3,72.15,2021-09-15T18:41:07.9728430,Cash,10.00%,2.41,7.22,0.80,,
INV00360,Store C,Dresses,186.47,1,186.47,2021-09-15T18:41:07.9728430,Online Payment,15.00%,27.97,27.97,27.97,,
INV00536,Store C,Jeans,119.74,1,119.74,2021-09-15T18:41:07.9728430,Credit Card,12.00%,14.37,14.37,14.37,,
INV01401,Store C,Dresses,119.88,4,479.52,2021-09-16T18:41:07.9728430,Credit Card,12.00%,14.39,57.54,3.60,,
INV01907,Store A,Dresses,138.11,3,414.33,2021-09-16T18:41:07.9728430,Online Payment,12.00%,16.57,49.72,5.52,,
INV00267,Store A,Accessories,136.2,1,136.2,2021-09-16T18:41:07.9728430,Online Payment,12.00%,16.34,16.34,16.34,,
INV01695,Store C,Dresses,48.02,1,48.02,2021-09-16T18:41:07.9728430,Debit Card,10.00%,4.80,4.80,4.80,,
INV00767,Store B,Dresses,191.31,3,573.93,2021-09-16T18:41:07.9728430,Credit Card,15.00%,28.70,86.09,9.57,,
INV01901,Store A,Jeans,90.61,1,90.61,2021-09-17T18:41:07.9728430,Credit Card,10.00%,9.06,9.06,9.06,,
INV00471,Store B,Accessories,86.4,2,172.8,2021-09-17T18:41:07.9728430,Online Payment,10.00%,8.64,17.28,4.32,,
INV00006,Store A,Dresses,15.52,3,46.56,2021-09-17T18:41:07.9728430,Cash,10.00%,1.55,4.66,0.52,,
INV01697,Store A,Jackets,18.16,4,72.64,2021-09-17T18:41:07.9728430,Credit Card,10.00%,1.82,7.26,0.45,,
INV01803,Store B,Accessories,126.38,2,252.76,2021-09-17T18:41:07.9728430,Online Payment,12.00%,15.17,30.33,7.58,,
INV01093,Store C,T-Shirts,66.02,4,264.08,2021-09-17T18:41:07.9728430,Cash,10.00%,6.60,26.41,1.65,,
INV01490,Store A,Dresses,113.32,2,226.64,2021-09-17T18:41:07.9728430,Cash,12.00%,13.60,27.20,6.80,,
INV00658,Store A,Jackets,164.57,2,329.14,2021-09-18T18:41:07.9728430,Cash,15.00%,24.69,49.37,12.34,,
INV01655,Store C,Dresses,86.12,4,344.48,2021-09-18T18:41:07.9728430,Online Payment,10.00%,8.61,34.45,2.15,,
INV00559,Store A,Jeans,76.46,4,305.84,2021-09-18T18:41:07.9728430,Credit Card,10.00%,7.65,30.58,1.91,,
INV01014,Store B,T-Shirts,138.11,1,138.11,2021-09-18T18:41:07.9728430,Cash,12.00%,16.57,16.57,16.57,,
INV00495,Store A,Jeans,197.05,4,788.2,2021-09-18T18:41:07.9728430,Online Payment,15.00%,29.56,118.23,7.39,,
INV00239,Store A,T-Shirts,31.09,2,62.18,2021-09-18T18:41:07.9728430,Debit Card,10.00%,3.11,6.22,1.55,,
INV01549,Store B,T-Shirts,32.61,2,65.22,2021-09-18T18:41:07.9728430,Credit Card,10.00%,3.26,6.52,1.63,,
INV01988,Store A,Shoes,174.23,4,696.92,2021-09-18T18:41:07.9728430,Debit Card,15.00%,26.13,104.54,6.53,,
INV01048,Store A,Accessories,68.93,2,137.86,2021-09-19T18:41:07.9728430,Online Payment,10.00%,6.89,13.79,3.45,,
INV01667,Store C,Jeans,82.77,3,248.31,2021-09-19T18:41:07.9728430,Debit Card,10.00%,8.28,24.83,2.76,,
INV01285,Store B,Jeans,80.32,2,160.64,2021-09-19T18:41:07.9728430,Online Payment,10.00%,8.03,16.06,4.02,,
INV01376,Store C,Shoes,146.31,4,585.24,2021-09-19T18:41:07.9728430,Debit Card,12.00%,17.56,70.23,4.39,,
INV01772,Store B,Shoes,56.73,1,56.73,2021-09-19T18:41:07.9728430,Online Payment,10.00%,5.67,5.67,5.67,,
INV00783,Store B,Jeans,38.03,3,114.09,2021-09-19T18:41:07.9728430,Credit Card,10.00%,3.80,11.41,1.27,,
INV01864,Store A,T-Shirts,184.84,1,184.84,2021-09-20T18:41:07.9728430,Online Payment,15.00%,27.73,27.73,27.73,,
INV01129,Store A,Jackets,15.7,4,62.8,2021-09-20T18:41:07.9728430,Online Payment,10.00%,1.57,6.28,0.39,,
INV01924,Store B,Jackets,153.42,3,460.26,2021-09-20T18:41:07.9728430,Credit Card,15.00%,23.01,69.04,7.67,,
INV01144,Store A,Jackets,38.14,2,76.28,2021-09-20T18:41:07.9728430,Cash,10.00%,3.81,7.63,1.91,,
INV00427,Store A,Dresses,176.19,4,704.76,2021-09-20T18:41:07.9728430,Cash,15.00%,26.43,105.71,6.61,,
INV00733,Store A,Dresses,66.61,4,266.44,2021-09-20T18:41:07.9728430,Credit Card,10.00%,6.66,26.64,1.67,,
INV00792,Store C,T-Shirts,142.82,3,428.46,2021-09-21T18:41:07.9728430,Debit Card,12.00%,17.14,51.42,5.71,,
INV01922,Store B,Accessories,157.14,2,314.28,2021-09-21T18:41:07.9728430,Credit Card,15.00%,23.57,47.14,11.79,,
INV00982,Store B,Dresses,18.74,3,56.22,2021-09-21T18:41:07.9728430,Cash,10.00%,1.87,5.62,0.62,,
INV00915,Store A,Jackets,37.16,2,74.32,2021-09-21T18:41:07.9728430,Debit Card,10.00%,3.72,7.43,1.86,,
INV00761,Store A,Dresses,130.85,2,261.7,2021-09-21T18:41:07.9728430,Online Payment,12.00%,15.70,31.40,7.85,,
INV01983,Store A,T-Shirts,166.04,3,498.12,2021-09-21T18:41:07.9728430,Credit Card,15.00%,24.91,74.72,8.30,,
INV01964,Store B,Dresses,29.93,2,59.86,2021-09-21T18:41:07.9728430,Online Payment,10.00%,2.99,5.99,1.50,,
INV00193,Store C,Jeans,28.61,3,85.83,2021-09-21T18:41:07.9728430,Debit Card,10.00%,2.86,8.58,0.95,,
INV01501,Store B,Accessories,54.36,3,163.08,2021-09-21T18:41:07.9728430,Online Payment,10.00%,5.44,16.31,1.81,,
INV01294,Store C,Jeans,122.59,4,490.36,2021-09-21T18:41:07.9728430,Debit Card,12.00%,14.71,58.84,3.68,,
INV01280,Store C,Accessories,178.76,2,357.52,2021-09-22T18:41:07.9728430,Online Payment,15.00%,26.81,53.63,13.41,,
INV01373,Store B,Shoes,172.7,2,345.4,2021-09-22T18:41:07.9728430,Credit Card,15.00%,25.91,51.81,12.95,,
INV01782,Store A,Dresses,108.86,3,326.58,2021-09-22T18:41:07.9728430,Credit Card,12.00%,13.06,39.19,4.35,,
INV01754,Store A,Accessories,91.27,3,273.81,2021-09-22T18:41:07.9728430,Cash,10.00%,9.13,27.38,3.04,,
INV01832,Store A,Jeans,48.58,1,48.58,2021-09-22T18:41:07.9728430,Online Payment,10.00%,4.86,4.86,4.86,,
INV00184,Store B,Dresses,61.16,2,122.32,2021-09-22T18:41:07.9728430,Credit Card,10.00%,6.12,12.23,3.06,,
INV00090,Store C,Accessories,145.97,4,583.88,2021-09-22T18:41:07.9728430,Credit Card,12.00%,17.52,70.07,4.38,,
INV01412,Store B,Jackets,91.19,3,273.57,2021-09-22T18:41:07.9728430,Credit Card,10.00%,9.12,27.36,3.04,,
INV00931,Store B,Jackets,172.79,1,172.79,2021-09-22T18:41:07.9728430,Cash,15.00%,25.92,25.92,25.92,,
INV01684,Store C,Shoes,160.86,4,643.44,2021-09-23T18:41:07.9728430,Cash,15.00%,24.13,96.52,6.03,,
INV01533,Store C,T-Shirts,28.14,4,112.56,2021-09-23T18:41:07.9728430,Cash,10.00%,2.81,11.26,0.70,,
INV01830,Store A,Shoes,39.49,2,78.98,2021-09-23T18:41:07.9728430,Cash,10.00%,3.95,7.90,1.97,,
INV00185,Store B,Jackets,173.62,3,520.86,2021-09-23T18:41:07.9728430,Cash,15.00%,26.04,78.13,8.68,,
INV01688,Store C,Jeans,130.14,1,130.14,2021-09-23T18:41:07.9728430,Debit Card,12.00%,15.62,15.62,15.62,,
INV01536,Store B,T-Shirts,127.18,2,254.36,2021-09-23T18:41:07.9728430,Credit Card,12.00%,15.26,30.52,7.63,,
INV01642,Store A,Dresses,108.51,4,434.04,2021-09-23T18:41:07.9728430,Cash,12.00%,13.02,52.08,3.26,,
INV01137,Store A,Shoes,121.94,4,487.76,2021-09-23T18:41:07.9728430,Online Payment,12.00%,14.63,58.53,3.66,,
INV00399,Store C,T-Shirts,133.31,1,133.31,2021-09-23T18:41:07.9728430,Online Payment,12.00%,16.00,16.00,16.00,,
INV01259,Store A,T-Shirts,164.9,3,494.7,2021-09-23T18:41:07.9728430,Online Payment,15.00%,24.74,74.21,8.25,,
INV00554,Store A,Dresses,180.11,2,360.22,2021-09-23T18:41:07.9728430,Online Payment,15.00%,27.02,54.03,13.51,,
INV00985,Store C,Accessories,173.65,4,694.6,2021-09-24T18:41:07.9728430,Online Payment,15.00%,26.05,104.19,6.51,,
INV00188,Store C,Accessories,123.4,3,370.2,2021-09-24T18:41:07.9728430,Cash,12.00%,14.81,44.42,4.94,,
INV01110,Store C,T-Shirts,53.85,2,107.7,2021-09-24T18:41:07.9728430,Online Payment,10.00%,5.39,10.77,2.69,,
INV00643,Store B,Accessories,112.96,2,225.92,2021-09-24T18:41:07.9728430,Debit Card,12.00%,13.56,27.11,6.78,,
INV01077,Store C,Dresses,41.64,2,83.28,2021-09-24T18:41:07.9728430,Credit Card,10.00%,4.16,8.33,2.08,,
INV00801,Store C,T-Shirts,194.39,2,388.78,2021-09-24T18:41:07.9728430,Cash,15.00%,29.16,58.32,14.58,,
INV00637,Store B,Shoes,143.94,2,287.88,2021-09-24T18:41:07.9728430,Credit Card,12.00%,17.27,34.55,8.64,,
INV01514,Store C,T-Shirts,144.23,1,144.23,2021-09-24T18:41:07.9728430,Debit Card,12.00%,17.31,17.31,17.31,,
INV01773,Store C,Jeans,166.16,2,332.32,2021-09-24T18:41:07.9728430,Cash,15.00%,24.92,49.85,12.46,,
INV00129,Store C,Accessories,133.33,4,533.32,2021-09-25T18:41:07.9728430,Debit Card,12.00%,16.00,64.00,4.00,,
INV01645,Store C,Accessories,135.72,4,542.88,2021-09-25T18:41:07.9728430,Cash,12.00%,16.29,65.15,4.07,,
INV00277,Store C,Dresses,48.4,1,48.4,2021-09-25T18:41:07.9728430,Credit Card,10.00%,4.84,4.84,4.84,,
INV01401,Store A,Accessories,181.95,1,181.95,2021-09-25T18:41:07.9728430,Online Payment,15.00%,27.29,27.29,27.29,,
INV01075,Store A,Jackets,191.99,3,575.97,2021-09-25T18:41:07.9728430,Cash,15.00%,28.80,86.40,9.60,,
INV00717,Store A,Jeans,30.93,1,30.93,2021-09-25T18:41:07.9728430,Cash,10.00%,3.09,3.09,3.09,,
INV01689,Store C,Jackets,139.99,2,279.98,2021-09-25T18:41:07.9728430,Debit Card,12.00%,16.80,33.60,8.40,,
INV01998,Store B,Accessories,177.12,2,354.24,2021-09-25T18:41:07.9728430,Credit Card,15.00%,26.57,53.14,13.28,,
INV01342,Store B,Dresses,46.81,3,140.43,2021-09-25T18:41:07.9728430,Online Payment,10.00%,4.68,14.04,1.56,,
INV00340,Store B,Shoes,70.82,1,70.82,2021-09-25T18:41:07.9728430,Debit Card,10.00%,7.08,7.08,7.08,,
INV00569,Store B,Jackets,142.12,1,142.12,2021-09-25T18:41:07.9728430,Cash,12.00%,17.05,17.05,17.05,,
INV01044,Store B,Shoes,161.69,2,323.38,2021-09-26T18:41:07.9728430,Debit Card,15.00%,24.25,48.51,12.13,,
INV01973,Store B,Shoes,20.37,2,40.74,2021-09-26T18:41:07.9728430,Online Payment,10.00%,2.04,4.07,1.02,,
INV00230,Store B,T-Shirts,151.11,2,302.22,2021-09-26T18:41:07.9728430,Credit Card,15.00%,22.67,45.33,11.33,,
INV01769,Store C,Jeans,124.52,2,249.04,2021-09-26T18:41:07.9728430,Debit Card,12.00%,14.94,29.88,7.47,,
INV01713,Store A,T-Shirts,44.4,1,44.4,2021-09-26T18:41:07.9728430,Credit Card,10.00%,4.44,4.44,4.44,,
INV01660,Store A,Jeans,101.58,1,101.58,2021-09-26T18:41:07.9728430,Cash,12.00%,12.19,12.19,12.19,,
INV01233,Store C,Jeans,125.12,1,125.12,2021-09-26T18:41:07.9728430,Credit Card,12.00%,15.01,15.01,15.01,,
INV01717,Store B,Shoes,16.98,1,16.98,2021-09-27T18:41:07.9728430,Cash,10.00%,1.70,1.70,1.70,,
INV00366,Store B,Jeans,155.88,4,623.52,2021-09-27T18:41:07.9728430,Debit Card,15.00%,23.38,93.53,5.85,,
INV01582,Store A,Accessories,185.23,1,185.23,2021-09-27T18:41:07.9728430,Cash,15.00%,27.78,27.78,27.78,,
INV00501,Store A,Jackets,128.77,4,515.08,2021-09-27T18:41:07.9728430,Cash,12.00%,15.45,61.81,3.86,,
INV01611,Store A,Accessories,138.78,1,138.78,2021-09-27T18:41:07.9728430,Cash,12.00%,16.65,16.65,16.65,,
INV01947,Store C,T-Shirts,47.8,3,143.4,2021-09-27T18:41:07.9728430,Debit Card,10.00%,4.78,14.34,1.59,,
INV00882,Store C,Accessories,172.59,3,517.77,2021-09-27T18:41:07.9728430,Credit Card,15.00%,25.89,77.67,8.63,,
INV01521,Store C,T-Shirts,177.93,1,177.93,2021-09-27T18:41:07.9728430,Credit Card,15.00%,26.69,26.69,26.69,,
INV01990,Store A,Dresses,76.66,2,153.32,2021-09-28T18:41:07.9728430,Cash,10.00%,7.67,15.33,3.83,,
INV00063,Store B,T-Shirts,80.76,4,323.04,2021-09-28T18:41:07.9728430,Credit Card,10.00%,8.08,32.30,2.02,,
INV01610,Store B,Accessories,44.44,3,133.32,2021-09-28T18:41:07.9728430,Debit Card,10.00%,4.44,13.33,1.48,,
INV00456,Store B,Dresses,199.65,4,798.6,2021-09-28T18:41:07.9728430,Online Payment,15.00%,29.95,119.79,7.49,,
INV01201,Store C,Accessories,26.23,3,78.69,2021-09-28T18:41:07.9728430,Online Payment,10.00%,2.62,7.87,0.87,,
INV00283,Store B,T-Shirts,93.99,4,375.96,2021-09-28T18:41:07.9728430,Debit Card,10.00%,9.40,37.60,2.35,,
INV01312,Store B,Accessories,160.82,3,482.46,2021-09-29T18:41:07.9728430,Online Payment,15.00%,24.12,72.37,8.04,,
INV00049,Store A,Jeans,136.05,1,136.05,2021-09-29T18:41:07.9728430,Cash,12.00%,16.33,16.33,16.33,,
INV01779,Store C,T-Shirts,45.05,4,180.2,2021-09-29T18:41:07.9728430,Cash,10.00%,4.51,18.02,1.13,,
INV01864,Store C,T-Shirts,77.91,3,233.73,2021-09-29T18:41:07.9728430,Debit Card,10.00%,7.79,23.37,2.60,,
INV00718,Store B,Jeans,193.08,2,386.16,2021-09-29T18:41:07.9728430,Online Payment,15.00%,28.96,57.92,14.48,,
INV00422,Store A,Dresses,124.46,1,124.46,2021-09-29T18:41:07.9728430,Credit Card,12.00%,14.94,14.94,14.94,,
INV00163,Store A,Shoes,177.8,3,533.4,2021-09-29T18:41:07.9728430,Online Payment,15.00%,26.67,80.01,8.89,,
INV01313,Store B,Jeans,58.61,1,58.61,2021-09-29T18:41:07.9728430,Cash,10.00%,5.86,5.86,5.86,,
INV01227,Store A,Accessories,198.52,4,794.08,2021-09-29T18:41:07.9728430,Cash,15.00%,29.78,119.11,7.44,,
INV00253,Store B,Jackets,47.28,3,141.84,2021-09-29T18:41:07.9728430,Debit Card,10.00%,4.73,14.18,1.58,,
INV01989,Store B,Jackets,147.88,4,591.52,2021-09-29T18:41:07.9728430,Cash,12.00%,17.75,70.98,4.44,,
INV00285,Store B,Shoes,68.57,1,68.57,2021-09-30T18:41:07.9728430,Online Payment,10.00%,6.86,6.86,6.86,,
INV01050,Store A,Jackets,111.05,3,333.15,2021-09-30T18:41:07.9728430,Debit Card,12.00%,13.33,39.98,4.44,,
INV00344,Store C,Jackets,62.13,2,124.26,2021-09-30T18:41:07.9728430,Credit Card,10.00%,6.21,12.43,3.11,,
INV00053,Store C,T-Shirts,194.8,2,389.6,2021-09-30T18:41:07.9728430,Cash,15.00%,29.22,58.44,14.61,,
INV01531,Store A,Accessories,123.45,3,370.35,2021-10-01T18:41:07.9728430,Online Payment,12.00%,14.81,44.44,4.94,,
INV01574,Store C,Shoes,153.49,2,306.98,2021-10-01T18:41:07.9728430,Debit Card,15.00%,23.02,46.05,11.51,,
INV00874,Store C,Accessories,20.59,3,61.77,2021-10-01T18:41:07.9728430,Credit Card,10.00%,2.06,6.18,0.69,,
INV01498,Store A,T-Shirts,23.02,2,46.04,2021-10-01T18:41:07.9728430,Debit Card,10.00%,2.30,4.60,1.15,,
INV00952,Store C,T-Shirts,140.78,4,563.12,2021-10-01T18:41:07.9728430,Cash,12.00%,16.89,67.57,4.22,,
INV00803,Store B,T-Shirts,82.56,1,82.56,2021-10-01T18:41:07.9728430,Credit Card,10.00%,8.26,8.26,8.26,,
INV01795,Store A,Jeans,119.11,2,238.22,2021-10-01T18:41:07.9728430,Credit Card,12.00%,14.29,28.59,7.15,,
INV01300,Store A,Jackets,33.38,4,133.52,2021-10-01T18:41:07.9728430,Cash,10.00%,3.34,13.35,0.83,,
INV00388,Store A,Jeans,188.3,3,564.9,2021-10-01T18:41:07.9728430,Online Payment,15.00%,28.25,84.74,9.42,,
INV00547,Store A,Dresses,92.92,2,185.84,2021-10-01T18:41:07.9728430,Credit Card,10.00%,9.29,18.58,4.65,,
INV00944,Store C,Dresses,91.61,3,274.83,2021-10-01T18:41:07.9728430,Cash,10.00%,9.16,27.48,3.05,,
INV00719,Store A,Jeans,152.14,3,456.42,2021-10-01T18:41:07.9728430,Debit Card,15.00%,22.82,68.46,7.61,,
INV01301,Store C,Jackets,119.03,2,238.06,2021-10-01T18:41:07.9728430,Debit Card,12.00%,14.28,28.57,7.14,,
